Telemetry_ID,Timestamp,Equipment_ID,Latitude,Longitude,Speed,Operating_Hours,Engine_Hours,Idle_Hours,Fuel_Used_Total,Fuel_Used_Last_24H,Fuel_Remaining_Percentage,DEF_Remaining_Percentage,Engine_Condition,Load_Count,Payload_Total,Diagnostic_Trouble_Code,GPS_Status,Ignition_Status
TEL-10052,2026-02-16 09:30:00,EQ-1002,37.807339,-122.268821,28.2,752.9,752.9,225.8,12651.3,149.3,37.6,77.1,WARNING,11,117.2,P0217,ONLINE,ON
TEL-10053,2026-02-16 10:00:00,EQ-1002,37.808624,-122.271495,29.3,753.4,753.4,226.3,12659.2,189.4,34.5,77.0,GOOD,11,128.7,,ONLINE,ON
TEL-10054,2026-02-16 10:30:00,EQ-1002,37.81117,-122.272685,18.8,753.9,753.9,226.4,12665.3,145.7,32.0,76.9,GOOD,11,132.5,,ONLINE,ON
TEL-10055,2026-02-16 11:00:00,EQ-1002,37.803509,-122.265524,20.4,754.4,754.4,226.9,12670.5,125.0,30.0,76.8,GOOD,12,145.1,,ONLINE,ON
TEL-10056,2026-02-16 11:30:00,EQ-1002,37.808334,-122.26727,29.3,754.9,754.9,227.4,12674.7,100.3,28.3,76.7,GOOD,13,154.7,,ONLINE,ON
TEL-10057,2026-02-16 12:00:00,EQ-1002,37.805979,-122.270296,10.5,755.4,755.4,227.5,12680.5,139.4,26.0,76.6,GOOD,14,165.7,,ONLINE,ON
TEL-10058,2026-02-16 12:30:00,EQ-1002,37.806823,-122.26994,0.0,755.4,755.4,227.5,12680.6,2.4,25.9,76.5,GOOD,14,165.7,,ONLINE,OFF
TEL-10059,2026-02-16 13:00:00,EQ-1002,37.807977,-122.272457,11.2,755.9,755.9,228.0,12685.0,105.4,24.2,76.4,GOOD,15,168.5,,ONLINE,ON
TEL-10060,2026-02-16 13:30:00,EQ-1002,37.806395,-122.272533,34.9,756.4,756.4,228.1,12691.0,143.8,21.8,76.3,GOOD,16,172.8,,ONLINE,ON
TEL-10061,2026-02-16 14:00:00,EQ-1002,37.802275,-122.274428,6.0,756.9,756.9,228.6,12696.0,121.4,19.8,76.2,GOOD,17,180.4,,ONLINE,ON
TEL-10062,2026-02-16 14:30:00,EQ-1002,37.809772,-122.271549,11.6,757.4,757.4,228.8,12700.5,107.5,18.0,76.1,GOOD,18,187.9,,ONLINE,ON
TEL-10063,2026-02-16 15:00:00,EQ-1002,37.805103,-122.268809,7.0,757.9,757.9,228.9,12706.3,139.9,15.6,76.0,GOOD,19,196.8,,ONLINE,ON
TEL-10064,2026-02-16 15:30:00,EQ-1002,37.802919,-122.270775,19.1,758.4,758.4,229.0,12712.2,141.6,13.3,75.9,GOOD,19,205.8,,OFFLINE,ON
TEL-10065,2026-02-16 16:00:00,EQ-1002,37.807065,-122.267728,23.8,758.9,758.9,229.1,12717.1,117.8,11.3,75.8,GOOD,19,206.3,,ONLINE,ON
TEL-10066,2026-02-16 16:30:00,EQ-1002,38.050931,-122.074511,0.0,758.9,758.9,229.1,12717.2,2.4,11.3,75.7,GOOD,19,206.3,,ONLINE,OFF
TEL-10067,2026-02-16 17:00:00,EQ-1002,37.806823,-122.26994,0.0,758.9,758.9,229.1,12717.3,2.4,11.2,75.6,WARNING,19,206.3,P0087,ONLINE,OFF
TEL-10068,2026-02-16 17:30:00,EQ-1002,37.806823,-122.26994,0.0,758.9,758.9,229.1,12717.4,2.4,11.2,75.5,GOOD,19,206.3,,ONLINE,OFF
TEL-10069,2026-02-16 18:00:00,EQ-1002,37.811396,-122.27215,24.5,759.4,759.4,229.2,12724.7,173.0,8.3,75.4,GOOD,20,216.9,,ONLINE,ON
TEL-10070,2026-02-16 18:30:00,EQ-1002,37.807558,-122.269508,18.4,759.9,759.9,229.3,12732.4,185.8,5.2,75.3,GOOD,20,221.3,,ONLINE,ON
TEL-10071,2026-02-16 19:00:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12732.5,2.4,5.2,75.2,GOOD,20,221.3,,ONLINE,OFF
TEL-10072,2026-02-16 19:30:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12732.6,2.4,5.1,75.1,GOOD,20,221.3,,ONLINE,OFF
TEL-10073,2026-02-16 20:00:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12732.7,2.4,5.1,75.0,GOOD,20,221.3,,ONLINE,OFF
TEL-10074,2026-02-16 20:30:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12732.8,2.4,5.0,74.9,WARNING,20,221.3,P0300,ONLINE,OFF
TEL-10075,2026-02-16 21:00:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12732.9,2.4,5.0,74.8,GOOD,20,221.3,,ONLINE,OFF
TEL-10076,2026-02-16 21:30:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12733.0,2.4,98.0,74.7,GOOD,20,221.3,,ONLINE,OFF
TEL-10077,2026-02-16 22:00:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12733.1,2.4,98.0,74.6,WARNING,20,221.3,P0017,ONLINE,OFF
TEL-10078,2026-02-16 22:30:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12733.2,2.4,97.9,74.5,WARNING,20,221.3,P0087,ONLINE,OFF
TEL-10079,2026-02-16 23:00:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12733.3,2.4,97.9,74.4,GOOD,20,221.3,,ONLINE,OFF
TEL-10080,2026-02-16 23:30:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12733.4,2.4,97.8,74.3,GOOD,20,221.3,,ONLINE,OFF
TEL-10081,2026-02-17 00:00:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12733.5,2.4,97.8,74.2,GOOD,20,221.3,,ONLINE,OFF
TEL-10082,2026-02-17 00:30:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12733.6,2.4,97.8,74.1,GOOD,20,221.3,,ONLINE,OFF
TEL-10083,2026-02-17 01:00:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12733.7,2.4,97.7,74.0,GOOD,20,221.3,,ONLINE,OFF
TEL-10084,2026-02-17 01:30:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12733.8,2.4,97.7,73.9,GOOD,20,221.3,,OFFLINE,OFF
TEL-10085,2026-02-17 02:00:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12733.9,2.4,97.6,73.8,GOOD,20,221.3,,ONLINE,OFF
TEL-10086,2026-02-17 02:30:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12734.0,2.4,97.6,73.7,GOOD,20,221.3,,ONLINE,OFF
TEL-10087,2026-02-17 03:00:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12734.1,2.4,97.6,73.6,GOOD,20,221.3,,OFFLINE,OFF
TEL-10088,2026-02-17 03:30:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12734.2,2.4,97.5,73.5,GOOD,20,221.3,,ONLINE,OFF
TEL-10089,2026-02-17 04:00:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12734.3,2.4,97.5,73.4,GOOD,20,221.3,,ONLINE,OFF
TEL-10090,2026-02-17 04:30:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12734.4,2.4,97.4,73.3,GOOD,20,221.3,,ONLINE,OFF
TEL-10091,2026-02-17 05:00:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12734.5,2.4,97.4,73.2,GOOD,20,221.3,,ONLINE,OFF
TEL-10092,2026-02-17 05:30:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12734.6,2.4,97.4,73.1,GOOD,20,221.3,,ONLINE,OFF
TEL-10093,2026-02-17 06:00:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12734.7,2.4,97.3,73.0,GOOD,20,221.3,,ONLINE,OFF
TEL-10094,2026-02-17 06:30:00,EQ-1002,37.806823,-122.26994,0.0,759.9,759.9,229.3,12734.8,2.4,97.3,72.9,GOOD,20,221.3,,ONLINE,OFF
TEL-10095,2026-02-17 07:00:00,EQ-1002,37.806241,-122.268137,29.4,760.4,760.4,229.4,12740.9,147.6,94.8,72.8,GOOD,21,233.4,,ONLINE,ON
TEL-10096,2026-02-17 07:30:00,EQ-1002,37.805782,-122.266775,19.2,760.9,760.9,229.4,12746.8,140.4,92.5,72.7,GOOD,22,243.9,,ONLINE,ON
TEL-10097,2026-02-17 08:00:00,EQ-1002,37.803177,-122.268525,4.5,761.4,761.4,229.6,12752.7,141.4,90.1,72.6,GOOD,23,250.6,,ONLINE,ON
TEL-10098,2026-02-17 08:30:00,EQ-1002,37.806823,-122.26994,0.0,761.4,761.4,229.6,12752.8,2.4,90.1,72.5,GOOD,23,250.6,,ONLINE,OFF
TEL-10099,2026-02-17 09:00:00,EQ-1002,37.806823,-122.26994,0.0,761.4,761.4,229.6,12752.9,2.4,90.0,72.4,GOOD,23,250.6,,ONLINE,OFF
TEL-10100,2026-02-17 09:30:00,EQ-1002,37.80412,-122.270334,27.1,761.9,761.9,229.7,12759.8,165.1,87.3,72.3,GOOD,23,251.1,,ONLINE,ON
TEL-10101,2026-02-17 10:00:00,EQ-1002,37.806287,-122.26822,22.5,762.4,762.4,229.8,12764.7,119.0,85.3,72.2,GOOD,24,254.6,,ONLINE,ON
TEL-10102,2026-02-17 10:30:00,EQ-1002,37.809138,-122.271751,30.6,762.9,762.9,230.3,12770.7,144.5,82.9,72.1,GOOD,25,267.7,,ONLINE,ON
TEL-10103,2026-02-17 11:00:00,EQ-1002,37.806823,-122.26994,0.0,762.9,762.9,230.3,12770.8,2.4,82.9,72.0,GOOD,25,267.7,,ONLINE,OFF
TEL-10104,2026-02-17 11:30:00,EQ-1002,37.805635,-122.269695,8.2,763.4,763.4,230.4,12775.0,100.6,81.2,71.9,GOOD,25,279.0,,ONLINE,ON
TEL-10105,2026-02-17 12:00:00,EQ-1002,37.811501,-122.269367,30.1,763.9,763.9,230.6,12782.3,173.3,78.3,71.8,GOOD,25,292.8,,ONLINE,ON
TEL-10106,2026-02-17 12:30:00,EQ-1002,37.810559,-122.273058,5.5,764.4,764.4,230.6,12787.3,121.7,76.3,71.7,GOOD,26,295.9,,ONLINE,ON
TEL-10107,2026-02-17 13:00:00,EQ-1002,37.806823,-122.26994,0.0,764.4,764.4,230.6,12787.4,2.4,76.2,71.6,GOOD,26,295.9,,ONLINE,OFF
TEL-10108,2026-02-17 13:30:00,EQ-1002,37.805039,-122.272109,27.0,764.9,764.9,230.8,12794.2,163.7,73.5,71.5,GOOD,27,303.6,,ONLINE,ON
TEL-10109,2026-02-17 14:00:00,EQ-1002,37.805962,-122.269315,5.7,765.4,765.4,230.9,12801.6,176.6,70.6,71.4,GOOD,28,308.0,,ONLINE,ON
TEL-10110,2026-02-17 14:30:00,EQ-1002,37.809457,-122.270054,10.0,765.9,765.9,230.9,12807.8,148.8,68.1,71.3,GOOD,29,310.5,,ONLINE,ON
TEL-10111,2026-02-17 15:00:00,EQ-1002,37.81029,-122.265488,18.4,766.4,766.4,231.0,12814.4,157.7,65.4,71.2,GOOD,29,311.5,,ONLINE,ON
TEL-10112,2026-02-17 15:30:00,EQ-1002,37.808416,-122.274783,9.6,766.9,766.9,231.1,12820.9,157.2,62.8,71.1,GOOD,30,319.5,,ONLINE,ON
TEL-10113,2026-02-17 16:00:00,EQ-1002,37.807067,-122.27253,18.8,767.4,767.4,231.2,12828.7,186.2,59.7,71.0,GOOD,31,320.7,,ONLINE,ON
TEL-10114,2026-02-17 16:30:00,EQ-1002,37.806823,-122.26994,0.0,767.4,767.4,231.2,12828.8,2.4,59.7,70.9,GOOD,31,320.7,,ONLINE,OFF
TEL-10115,2026-02-17 17:00:00,EQ-1002,37.80819,-122.267912,34.7,767.9,767.9,231.2,12834.4,134.9,57.4,70.8,WARNING,31,334.1,P0300,ONLINE,ON
TEL-10116,2026-02-17 17:30:00,EQ-1002,37.806823,-122.26994,0.0,767.9,767.9,231.2,12834.5,2.4,57.4,70.7,GOOD,31,334.1,,ONLINE,OFF
TEL-10117,2026-02-17 18:00:00,EQ-1002,37.806823,-122.26994,0.0,767.9,767.9,231.2,12834.6,2.4,57.4,70.6,GOOD,31,334.1,,ONLINE,OFF
TEL-10118,2026-02-17 18:30:00,EQ-1002,37.806823,-122.26994,0.0,767.9,767.9,231.2,12834.7,2.4,57.3,70.5,GOOD,31,334.1,,OFFLINE,OFF
TEL-10119,2026-02-17 19:00:00,EQ-1002,37.806823,-122.26994,0.0,767.9,767.9,231.2,12834.8,2.4,57.3,70.4,GOOD,31,334.1,,ONLINE,OFF
TEL-10120,2025-09-16 08:00:00,EQ-1016,37.803734,-122.272787,24.9,2193.1,2193.1,2027.2,31365.2,103.4,93.3,89.5,WARNING,1,14.5,P0420,ONLINE,ON
TEL-10121,2025-09-16 08:30:00,EQ-1016,37.808287,-122.271354,23.1,2193.6,2193.6,2027.7,31372.3,171.1,90.4,89.4,GOOD,2,26.5,,ONLINE,ON
TEL-10122,2025-09-16 09:00:00,EQ-1016,37.810154,-122.271941,5.2,2194.1,2194.1,2028.2,31377.0,110.9,88.6,89.3,GOOD,3,37.9,,ONLINE,ON
TEL-10123,2025-09-16 09:30:00,EQ-1016,37.80379,-122.274212,5.3,2194.6,2194.6,2028.7,31382.7,137.3,86.3,89.2,GOOD,4,38.1,,ONLINE,ON
TEL-10124,2025-09-16 10:00:00,EQ-1016,37.805184,-122.269897,27.8,2195.1,2195.1,2029.2,31389.6,165.6,83.5,89.1,GOOD,5,45.5,,ONLINE,ON
TEL-10125,2025-09-16 10:30:00,EQ-1016,37.805274,-122.272642,16.6,2195.6,2195.6,2029.7,31395.3,136.3,81.3,89.0,GOOD,5,47.5,,ONLINE,ON
TEL-10126,2025-09-16 11:00:00,EQ-1016,37.807159,-122.270802,15.4,2196.1,2196.1,2030.2,31402.6,176.9,78.3,88.9,GOOD,6,52.3,,ONLINE,ON
TEL-10127,2025-09-16 11:30:00,EQ-1016,37.807757,-122.270108,0.0,2196.1,2196.1,2030.2,31402.7,2.4,78.3,88.8,GOOD,6,52.3,,ONLINE,OFF
TEL-10128,2025-09-16 12:00:00,EQ-1016,37.810922,-122.271179,18.5,2196.6,2196.6,2030.7,31409.0,151.2,75.7,88.7,GOOD,6,62.5,,ONLINE,ON
TEL-10129,2025-09-16 12:30:00,EQ-1016,37.80567,-122.26818,33.5,2197.1,2197.1,2031.2,31414.9,140.4,73.4,88.6,GOOD,7,64.6,,ONLINE,ON
TEL-10130,2025-09-16 13:00:00,EQ-1016,37.807248,-122.269129,10.7,2197.6,2197.6,2031.7,31419.5,110.9,71.6,88.5,GOOD,8,72.8,,ONLINE,ON
TEL-10131,2025-09-16 13:30:00,EQ-1016,37.803607,-122.267418,14.2,2198.1,2198.1,2032.2,31427.1,181.9,68.5,88.4,GOOD,8,81.2,,ONLINE,ON
TEL-10132,2025-09-16 14:00:00,EQ-1016,37.803816,-122.274122,23.5,2198.6,2198.6,2032.7,31435.0,188.9,65.4,88.3,GOOD,8,87.9,,ONLINE,ON
TEL-10133,2025-09-16 14:30:00,EQ-1016,37.803003,-122.274063,27.6,2199.1,2199.1,2033.2,31441.3,152.4,62.8,88.2,GOOD,8,93.1,,ONLINE,ON
TEL-10134,2025-09-16 15:00:00,EQ-1016,37.809977,-122.270584,28.0,2199.6,2199.6,2033.7,31447.4,145.9,60.4,88.1,WARNING,9,102.8,P0017,ONLINE,ON
TEL-10135,2025-09-16 15:30:00,EQ-1016,37.804358,-122.26951,7.8,2200.1,2200.1,2034.2,31455.3,190.6,57.2,88.0,GOOD,9,105.6,,ONLINE,ON
TEL-10136,2025-09-16 16:00:00,EQ-1016,37.807053,-122.275063,15.4,2200.6,2200.6,2034.7,31462.3,166.8,54.5,87.9,GOOD,9,114.3,,ONLINE,ON
TEL-10137,2025-09-16 16:30:00,EQ-1016,37.809464,-122.270213,19.9,2201.1,2201.1,2035.2,31467.7,131.0,52.3,87.8,GOOD,10,123.1,,ONLINE,ON
TEL-10138,2025-09-16 17:00:00,EQ-1016,37.805731,-122.268963,30.0,2201.6,2201.6,2035.7,31474.2,155.3,49.7,87.7,WARNING,10,125.8,P0087,ONLINE,ON
TEL-10139,2025-09-16 17:30:00,EQ-1016,37.804615,-122.268753,19.1,2202.1,2202.1,2036.2,31479.9,136.1,47.4,87.6,GOOD,10,133.1,,ONLINE,ON
TEL-10140,2025-09-16 18:00:00,EQ-1016,37.802853,-122.273743,12.7,2202.6,2202.6,2036.7,31485.7,139.2,45.1,87.5,GOOD,11,139.2,,ONLINE,ON
TEL-10141,2025-09-16 18:30:00,EQ-1016,37.810716,-122.272903,25.6,2203.1,2203.1,2037.2,31491.4,138.7,42.8,87.4,WARNING,12,147.7,P0087,ONLINE,ON
TEL-10142,2025-09-16 19:00:00,EQ-1016,37.807757,-122.270108,0.0,2203.1,2203.1,2037.2,31491.5,2.4,42.7,87.3,GOOD,12,147.7,,ONLINE,OFF
TEL-10143,2025-09-16 19:30:00,EQ-1016,37.807757,-122.270108,0.0,2203.1,2203.1,2037.2,31491.6,2.4,42.7,87.2,GOOD,12,147.7,,ONLINE,OFF
TEL-10144,2025-09-16 20:00:00,EQ-1016,37.807757,-122.270108,0.0,2203.1,2203.1,2037.2,31491.7,2.4,42.7,87.1,GOOD,12,147.7,,ONLINE,OFF
TEL-10145,2025-09-16 20:30:00,EQ-1016,37.807757,-122.270108,0.0,2203.1,2203.1,2037.2,31491.8,2.4,42.6,87.0,WARNING,12,147.7,P0217,ONLINE,OFF
TEL-10146,2025-09-16 21:00:00,EQ-1016,37.807757,-122.270108,0.0,2203.1,2203.1,2037.2,31491.9,2.4,42.6,86.9,GOOD,12,147.7,,ONLINE,OFF
