Equipment_ID,Type,Site_ID,Check_In_Date,Check_Out_Date,Original_Return_Date,Actual_Return_Date,Engine_Hours_Day,Idle_Hours_Day,Rental_Days,Contract_Type,Rental_Status,Is_Extended,Extension_Count,Last_Operator_ID
EQX1029,Crane,S007,2024-12-22,2025-03-01,2025-03-01,2025-03-01,9.2,1.3,69,MEDIUM_TERM,COMPLETED,False,0,OP251
EQX1030,Crane,S008,2025-01-15,2025-08-08,2025-08-08,NULL,6.3,1.7,205,LONG_TERM,ACTIVE,False,0,OP161
EQX1031,Grader,S008,2025-06-27,2025-08-01,2025-08-01,2025-08-01,1.6,8.3,35,MEDIUM_TERM,COMPLETED,False,0,OP124
EQX1032,Grader,S004,2025-03-03,2025-04-02,2025-04-02,NULL,1.0,8.7,30,MEDIUM_TERM,OVERDUE,False,0,OP185
EQX1033,Excavator,S006,2025-02-07,2025-09-11,2025-08-06,NULL,1.3,8.5,216,MEDIUM_TERM,EXTENDED,True,2,OP303
EQX1034,Bulldozer,S006,2024-11-07,2025-05-22,2025-04-01,2025-05-22,7.8,1.4,196,MEDIUM_TERM,COMPLETED,True,3,OP232
EQX1035,Excavator,NULL,2024-12-16,2025-01-04,2025-01-04,2025-01-04,2.3,8.3,19,SHORT_TERM,COMPLETED,False,0,NULL
EQX1036,Bulldozer,S003,2024-09-01,2024-09-27,2024-09-27,2024-09-27,7.5,1.4,26,SHORT_TERM,COMPLETED,False,0,OP117
EQX1037,Compactor,NULL,2025-04-03,2025-09-21,2025-09-21,NULL,2.3,9.7,171,MEDIUM_TERM,ACTIVE,False,0,NULL
EQX1038,Skid Steer,S002,2025-03-14,2025-04-11,2025-04-11,2025-04-11,4.8,3.0,28,SHORT_TERM,COMPLETED,False,0,OP181
EQX1039,Bulldozer,S006,2024-09-25,2024-10-03,2024-10-03,2024-10-03,6.6,3.1,8,SHORT_TERM,COMPLETED,False,0,OP308
EQX1040,Compactor,S001,2025-05-30,2025-09-27,2025-09-27,NULL,7.8,1.2,120,MEDIUM_TERM,ACTIVE,False,0,OP174
EQX1001,Bulldozer,S006,2025-03-29,2025-09-21,2025-09-21,NULL,9.4,3.0,176,MEDIUM_TERM,ACTIVE,False,0,OP130
EQX1002,Excavator,S005,2025-02-14,2025-03-15,2025-03-15,2025-03-15,0.8,10.6,29,SHORT_TERM,COMPLETED,False,0,OP108
EQX1003,Bulldozer,S001,2025-01-11,2025-04-06,2025-04-06,2025-04-06,8.1,2.8,85,MEDIUM_TERM,COMPLETED,False,0,OP124
EQX1004,Bulldozer,S003,2024-08-11,2025-01-14,2024-09-22,2025-01-14,6.6,1.1,156,MEDIUM_TERM,COMPLETED,True,2,OP141
EQX1005,Bulldozer,S002,2024-10-26,2025-03-29,2025-03-29,NULL,7.5,0.5,154,MEDIUM_TERM,OVERDUE,False,0,OP173
EQX1006,Backhoe Loader,S003,2025-05-22,2025-10-12,2025-06-08,NULL,1.3,10.8,143,SHORT_TERM,EXTENDED,True,3,OP296
EQX1007,Crane,NULL,2024-12-11,2025-07-24,2025-06-19,2025-07-24,1.6,10.8,225,LONG_TERM,COMPLETED,True,1,NULL
EQX1008,Compactor,S007,2024-09-09,2025-04-20,2025-04-20,2025-04-20,6.7,0.8,223,LONG_TERM,COMPLETED,False,0,OP106
EQX1009,Compactor,S002,2025-03-31,2025-12-22,2025-12-22,NULL,1.5,8.5,266,LONG_TERM,ACTIVE,False,0,OP202
EQX1010,Grader,S006,2025-03-24,2025-07-23,2025-05-30,2025-07-23,2.0,8.3,121,MEDIUM_TERM,COMPLETED,True,2,OP190
EQX1011,Skid Steer,S008,2024-08-27,2025-07-17,2025-07-17,2025-07-17,7.6,1.0,324,LONG_TERM,COMPLETED,False,0,OP275
EQX1012,Bulldozer,S005,2025-01-23,2025-01-31,2025-01-31,2025-01-31,4.8,3.0,8,SHORT_TERM,COMPLETED,False,0,OP304
EQX1013,Bulldozer,S002,2024-11-28,2025-04-05,2025-04-05,2025-04-05,4.7,3.2,128,MEDIUM_TERM,COMPLETED,False,0,OP258
EQX1014,Grader,S008,2024-12-04,2025-04-11,2024-12-12,NULL,4.7,2.6,128,SHORT_TERM,OVERDUE,True,2,OP229
EQX1015,Skid Steer,S003,2025-01-05,2025-01-21,2025-01-21,2025-01-21,8.4,2.4,16,SHORT_TERM,COMPLETED,False,0,OP194
EQX1016,Bulldozer,S007,2024-09-17,2024-10-15,2024-10-15,2024-10-15,5.2,1.5,28,SHORT_TERM,COMPLETED,False,0,OP173
EQX1017,Compactor,S002,2025-05-18,2025-09-09,2025-09-09,NULL,8.2,2.6,114,MEDIUM_TERM,ACTIVE,False,0,OP180
EQX1018,Bulldozer,S007,2025-02-14,2025-04-09,2025-03-04,2025-04-09,5.6,0.9,54,SHORT_TERM,COMPLETED,True,1,OP231
EQX1019,Bulldozer,S002,2025-07-03,2025-12-14,2025-12-14,NULL,7.6,2.3,164,MEDIUM_TERM,ACTIVE,False,0,OP230
EQX1020,Wheel Loader,S003,2025-01-17,2025-02-06,2025-02-06,2025-02-06,5.9,2.7,20,SHORT_TERM,COMPLETED,False,0,OP285
EQX1021,Skid Steer,S004,2025-04-14,2026-02-08,2026-02-08,NULL,9.4,1.9,300,LONG_TERM,ACTIVE,False,0,OP180
EQX1022,Backhoe Loader,S007,2025-03-16,2025-08-04,2025-05-20,NULL,5.0,3.0,141,MEDIUM_TERM,EXTENDED,True,2,OP142
EQX1023,Bulldozer,S003,2025-05-08,2025-05-31,2025-05-31,NULL,8.6,3.2,23,SHORT_TERM,OVERDUE,False,0,OP170
EQX1024,Excavator,S007,2025-06-11,2025-06-30,2025-06-30,NULL,8.7,2.4,19,SHORT_TERM,OVERDUE,False,0,OP229
EQX1025,Wheel Loader,S005,2024-11-24,2024-12-05,2024-12-05,NULL,1.0,11.3,11,SHORT_TERM,OVERDUE,False,0,OP313
EQX1026,Compactor,S005,2025-03-22,2025-03-30,2025-03-30,2025-03-30,5.1,3.2,8,SHORT_TERM,COMPLETED,False,0,OP161
EQX1027,Excavator,S004,2025-07-22,2025-08-11,2025-08-11,NULL,6.6,2.5,20,SHORT_TERM,ACTIVE,False,0,OP284
EQX1028,Bulldozer,S006,2024-11-05,2025-09-20,2025-09-20,NULL,4.6,3.1,319,LONG_TERM,ACTIVE,False,0,OP118
EQX1029,Excavator,S006,2025-06-18,2025-10-17,2025-10-17,NULL,7.6,2.8,121,MEDIUM_TERM,ACTIVE,False,0,OP165
EQX1030,Crane,S006,2025-04-24,2025-05-21,2025-05-21,2025-05-21,6.9,1.0,27,SHORT_TERM,COMPLETED,False,0,OP240
EQX1031,Wheel Loader,NULL,2025-07-04,2025-11-28,2025-11-28,NULL,0.6,8.8,147,MEDIUM_TERM,ACTIVE,False,0,NULL
EQX1032,Excavator,S005,2024-11-22,2024-12-16,2024-12-16,2024-12-16,1.2,11.1,24,SHORT_TERM,COMPLETED,False,0,OP232
EQX1033,Crane,S006,2025-01-06,2025-10-25,2025-10-25,NULL,1.9,9.5,292,LONG_TERM,ACTIVE,False,0,OP212
EQX1034,Backhoe Loader,S007,2024-10-16,2024-10-28,2024-10-28,NULL,6.0,1.8,12,SHORT_TERM,OVERDUE,False,0,OP121
EQX1035,Compactor,S008,2025-01-23,2025-02-22,2025-02-22,2025-02-22,8.5,0.7,30,SHORT_TERM,COMPLETED,False,0,OP190
EQX1036,Compactor,S003,2024-08-09,2024-09-04,2024-09-04,NULL,2.1,9.5,26,SHORT_TERM,OVERDUE,False,0,OP108
EQX1037,Compactor,S001,2025-01-14,2025-02-04,2025-02-04,2025-02-04,7.1,1.7,21,SHORT_TERM,COMPLETED,False,0,OP255
EQX1038,Backhoe Loader,S002,2024-10-30,2025-04-05,2025-04-05,2025-04-05,5.8,1.8,157,MEDIUM_TERM,COMPLETED,False,0,OP107
EQX1039,Backhoe Loader,S008,2024-12-03,2025-04-20,2024-12-12,2025-04-20,9.3,3.5,138,SHORT_TERM,COMPLETED,True,3,OP152
EQX1040,Crane,S005,2024-08-30,2025-11-29,2025-08-27,NULL,9.4,2.9,456,LONG_TERM,EXTENDED,True,2,OP177
EQX1001,Grader,S001,2024-11-25,2025-03-29,2025-03-29,2025-03-29,4.9,1.4,124,MEDIUM_TERM,COMPLETED,False,0,OP193
EQX1002,Skid Steer,S007,2025-02-10,2025-04-13,2025-04-13,2025-04-13,6.2,3.1,62,MEDIUM_TERM,COMPLETED,False,0,OP311
EQX1003,Wheel Loader,S003,2025-05-20,2025-07-03,2025-07-03,2025-07-03,2.4,8.9,44,MEDIUM_TERM,COMPLETED,False,0,OP211
EQX1004,Backhoe Loader,S005,2025-03-04,2025-12-08,2025-08-22,NULL,7.0,1.0,279,MEDIUM_TERM,EXTENDED,True,2,OP151
EQX1005,Wheel Loader,S006,2025-07-08,2026-06-16,2026-01-14,NULL,5.6,2.2,343,LONG_TERM,EXTENDED,True,3,OP316
EQX1006,Excavator,S005,2025-03-19,2026-01-16,2026-01-16,NULL,6.0,0.7,303,LONG_TERM,ACTIVE,False,0,OP265
EQX1007,Excavator,S007,2024-09-15,2025-01-15,2024-10-02,2025-01-15,9.4,0.9,122,SHORT_TERM,COMPLETED,True,3,OP224
EQX1008,Crane,S002,2025-03-08,2025-03-18,2025-03-18,NULL,2.4,11.5,10,SHORT_TERM,OVERDUE,False,0,OP182
EQX1009,Compactor,S003,2025-02-12,2025-04-24,2025-03-09,2025-04-24,8.9,2.0,71,SHORT_TERM,COMPLETED,True,1,OP309
EQX1010,Bulldozer,S008,2025-06-28,2025-10-30,2025-07-16,NULL,7.8,1.9,124,SHORT_TERM,EXTENDED,True,2,OP162
EQX1011,Excavator,S007,2024-12-28,2025-09-27,2025-09-27,NULL,7.4,1.1,273,LONG_TERM,ACTIVE,False,0,OP135
EQX1012,Backhoe Loader,NULL,2025-03-01,2025-08-18,2025-08-18,NULL,1.7,10.4,170,MEDIUM_TERM,ACTIVE,False,0,NULL
EQX1013,Wheel Loader,S007,2024-10-10,2025-02-03,2025-02-03,2025-02-03,1.5,10.0,116,MEDIUM_TERM,COMPLETED,False,0,OP196
EQX1014,Excavator,NULL,2024-10-30,2025-03-30,2025-03-30,2025-03-30,1.5,9.3,151,MEDIUM_TERM,COMPLETED,False,0,NULL
EQX1015,Crane,S005,2024-10-23,2024-11-15,2024-11-15,2024-11-15,4.6,1.5,23,SHORT_TERM,COMPLETED,False,0,OP252
EQX1016,Bulldozer,S005,2024-09-03,2025-10-26,2025-08-25,NULL,8.4,2.8,418,LONG_TERM,EXTENDED,True,2,OP304
EQX1017,Grader,S008,2025-05-08,2025-09-12,2025-09-12,NULL,7.4,2.6,127,MEDIUM_TERM,ACTIVE,False,0,OP144
EQX1018,Grader,NULL,2024-12-23,2025-01-03,2025-01-03,2025-01-03,2.0,11.7,11,SHORT_TERM,COMPLETED,False,0,NULL
EQX1019,Excavator,S004,2024-11-20,2024-12-18,2024-12-18,2024-12-18,2.3,9.4,28,SHORT_TERM,COMPLETED,False,0,OP244
EQX1020,Crane,S005,2025-03-02,2025-03-16,2025-03-16,2025-03-16,6.0,1.4,14,SHORT_TERM,COMPLETED,False,0,OP257
EQX1021,Grader,S008,2025-03-04,2025-03-28,2025-03-28,2025-03-28,9.0,1.7,24,SHORT_TERM,COMPLETED,False,0,OP182
EQX1022,Crane,S003,2025-06-12,2025-07-11,2025-07-11,2025-07-11,6.9,1.1,29,SHORT_TERM,COMPLETED,False,0,OP175
EQX1023,Backhoe Loader,S005,2024-09-25,2024-12-21,2024-10-25,2024-12-21,5.7,0.8,87,SHORT_TERM,COMPLETED,True,1,OP136
EQX1024,Crane,S002,2024-10-14,2024-11-14,2024-11-14,2024-11-14,8.9,1.9,31,MEDIUM_TERM,COMPLETED,False,0,OP275
