Equipment_ID,Equipment_Code,Equipment_Type,Make,Model,Year,Daily_Rental_Rate,Site_ID_asset,Latitude,Longitude,Status,Type,Site_ID_rental,Check_In_Date,Check_Out_Date,Original_Return_Date,Actual_Return_Date,Engine_Hours_Day,Idle_Hours_Day,Rental_Days,Contract_Type,Rental_Status,Is_Extended,Extension_Count,Last_Operator_ID,Total_Telemetry_Logs,Max_Operating_Hours,Avg_Fuel_Remaining_Pct,Total_Fuel_Used,Critical_Engine_Condition_Count,Warning_Engine_Condition_Count,DTC_Count,Latest_Latitude,Latest_Longitude,Current_Site,Rental_Age_Days,Days_Remaining,Expected_Return_Date,Contract_Completion_Pct,Total_Operating_Hours,Utilization_Percentage,Idle_Percentage,Fuel_Consumption_Rate,Asset_Health_Score
EQX1011,AST-1011,Bulldozer,Caterpillar,CAT CB2.7,2020,407.9,S007,40.58481548468206,-122.39756331220973,AVAILABLE,Excavator,S007,2024-12-28,2025-09-27,2025-09-27,,7.4,1.1,273,LONG_TERM,ACTIVE,False,0,OP135,125,798.3,52.155199999999994,10016.9,1,2,3,37.802589,-122.275065,S001,585,-313,2025-09-27,100.0,798.3,87.06,12.94,12.55,76.0
EQX1012,AST-1012,Compactor,Caterpillar,CAT 320,2024,549.88,S007,40.5880138069362,-122.39216040534885,AVAILABLE,Backhoe Loader,,2025-03-01,2025-08-18,2025-08-18,,1.7,10.4,170,MEDIUM_TERM,ACTIVE,False,0,,125,3015.9,52.4928,38595.5,2,7,9,37.803992,-122.269363,S001,522,-353,2025-08-18,100.0,3015.9,14.05,85.95,12.8,76.0
EQX1013,AST-1013,Crane,Caterpillar,CAT CB2.7,2024,554.49,S005,37.39281457341597,-121.9634355886478,AVAILABLE,Bulldozer,S002,2024-11-28,2025-04-05,2025-04-05,2025-04-05,4.7,3.2,128,MEDIUM_TERM,COMPLETED,False,0,OP258,125,1928.2,51.8912,24691.6,1,6,7,35.369204,-119.019639,S001,615,-488,2025-04-05,100.0,1928.2,59.49,40.51,12.81,76.0
EQX1014,AST-1014,Grader,Caterpillar,CAT 14M,2020,363.05,S008,35.363880496398934,-119.02197740912602,AVAILABLE,Grader,S004,2025-02-10,2025-03-23,2025-03-23,2025-03-23,6.4,2.5,41,MEDIUM_TERM,COMPLETED,False,0,OP320,125,1174.5,52.624,14148.2,0,5,5,38.582905,-121.492559,S001,541,-501,2025-03-23,100.0,1174.5,71.91,28.09,12.05,86.0
EQX1015,AST-1015,Compactor,Caterpillar,CAT 259D3,2019,591.9,S003,37.80508247259065,-122.26306142274824,AVAILABLE,Wheel Loader,S001,2025-06-01,2025-09-23,2025-09-23,,7.1,1.9,114,MEDIUM_TERM,ACTIVE,False,0,OP133,125,1419.0,51.8888,18524.3,3,7,10,37.778359,-122.414608,S001,430,-317,2025-09-23,100.0,1419.0,78.89,21.11,13.05,76.0
EQX1016,AST-1016,Excavator,Caterpillar,CAT CB2.7,2019,544.08,S002,37.33183458053027,-121.89109687372162,AVAILABLE,Wheel Loader,S003,2025-01-30,2025-02-14,2025-02-14,2025-02-14,1.2,10.7,15,SHORT_TERM,COMPLETED,False,0,OP120,125,835.5,51.528,10569.1,3,6,9,37.805052,-122.272631,S001,552,-538,2025-02-14,100.0,835.5,10.08,89.92,12.65,76.0
EQX1017,AST-1017,Crane,Caterpillar,CAT 259D3,2020,321.75,S004,38.58919279972004,-121.49883486768722,AVAILABLE,Compactor,S002,2025-05-18,2025-09-09,2025-09-09,,8.2,2.6,114,MEDIUM_TERM,ACTIVE,False,0,OP180,125,474.1,53.8808,5872.8,2,7,9,35.374365,-119.021361,S001,444,-331,2025-09-09,100.0,474.1,75.93,24.07,12.39,76.0
EQX1018,AST-1018,Compactor,Caterpillar,CAT D6,2021,188.14,S005,37.38688838095845,-121.9542018434298,AVAILABLE,Bulldozer,S002,2025-07-08,2025-08-26,2025-07-24,,6.7,1.2,49,SHORT_TERM,EXTENDED,True,1,OP214,125,1105.2,53.892,13844.7,3,2,5,37.339056,-121.885861,S001,393,-345,2025-08-26,100.0,1105.2,84.81,15.19,12.53,76.0
EQX1019,AST-1019,Crane,Caterpillar,CAT D6,2024,582.06,S004,38.57240516275082,-121.50377940002238,AVAILABLE,Bulldozer,S002,2025-07-03,2025-12-14,2025-12-14,,7.6,2.3,164,MEDIUM_TERM,ACTIVE,False,0,OP230,125,2567.3,51.855199999999996,33587.3,3,5,8,37.807849,-122.274785,S001,398,-235,2025-12-14,100.0,2567.3,76.77,23.23,13.08,76.0
EQX1020,AST-1020,Grader,Caterpillar,CAT 320,2022,244.0,S004,38.57412441949749,-121.4910108231076,AVAILABLE,Crane,S005,2025-03-02,2025-03-16,2025-03-16,2025-03-16,6.0,1.4,14,SHORT_TERM,COMPLETED,False,0,OP257,125,2166.0,52.331199999999995,24181.6,2,4,6,37.771881,-122.418176,S001,521,-508,2025-03-16,100.0,2166.0,81.08,18.92,11.16,76.0
EQX1021,AST-1021,Grader,Caterpillar,CAT 420,2024,334.94,S008,35.375417853851204,-119.00942530511796,AVAILABLE,Skid Steer,S004,2025-04-14,2026-02-08,2026-02-08,,9.4,1.9,300,LONG_TERM,ACTIVE,False,0,OP180,125,3228.2,52.615199999999994,41733.8,3,6,9,35.375207,-119.022735,S001,478,-179,2026-02-08,100.0,3228.2,83.19,16.81,12.93,76.0
EQX1022,AST-1022,Bulldozer,Caterpillar,CAT 420,2018,423.05,S003,37.812977743368144,-122.26968406543176,AVAILABLE,Crane,S003,2025-06-12,2025-07-11,2025-07-11,2025-07-11,6.9,1.1,29,SHORT_TERM,COMPLETED,False,0,OP175,125,391.2,52.3856,4813.1,5,3,8,37.776332,-122.423805,S001,419,-391,2025-07-11,100.0,391.2,86.25,13.75,12.3,76.0
EQX1023,AST-1023,Compactor,Caterpillar,CAT 14M,2018,428.68,S007,40.593111432675606,-122.39684301238924,AVAILABLE,Bulldozer,S003,2025-05-08,2025-05-31,2025-05-31,,8.6,3.2,23,SHORT_TERM,OVERDUE,False,0,OP170,125,3283.0,53.3168,38849.9,4,5,9,37.777606,-122.420456,S001,454,-432,2025-05-31,100.0,3283.0,72.88,27.12,11.83,76.0
EQX1024,AST-1024,Backhoe Loader,Caterpillar,CAT 320,2020,403.75,S002,37.341430426813744,-121.8949208652696,AVAILABLE,Excavator,S007,2025-06-11,2025-06-30,2025-06-30,,8.7,2.4,19,SHORT_TERM,OVERDUE,False,0,OP229,125,2103.5,53.132,29390.4,3,5,8,36.746515,-119.769,S001,420,-402,2025-06-30,100.0,2103.5,78.38,21.62,13.97,76.0
EQX1025,AST-1025,Crane,Caterpillar,CAT CB2.7,2024,385.88,S001,37.77357046802652,-122.42215623923008,AVAILABLE,Wheel Loader,S005,2024-11-24,2024-12-05,2024-12-05,,1.0,11.3,11,SHORT_TERM,OVERDUE,False,0,OP313,125,1195.0,52.3256,13577.4,9,5,14,35.377555,-119.019271,S001,619,-609,2024-12-05,100.0,1195.0,8.13,91.87,11.36,76.0
EQX1026,AST-1026,Skid Steer,Caterpillar,CAT CB2.7,2019,488.19,S003,37.813709474624766,-122.27579835207224,AVAILABLE,Compactor,S005,2025-03-22,2025-03-30,2025-03-30,2025-03-30,5.1,3.2,8,SHORT_TERM,COMPLETED,False,0,OP161,125,438.1,51.06,5065.3,1,7,8,37.770821,-122.423751,S001,501,-494,2025-03-30,100.0,438.1,61.45,38.55,11.56,76.0
EQX1027,AST-1027,Skid Steer,Caterpillar,CAT CB2.7,2024,487.03,S008,35.36866791076098,-119.0116657367996,AVAILABLE,Excavator,S004,2025-07-22,2025-08-11,2025-08-11,,6.6,2.5,20,SHORT_TERM,ACTIVE,False,0,OP284,125,659.9,52.8232,8211.2,1,4,5,38.584001,-121.493251,S001,379,-360,2025-08-11,100.0,659.9,72.53,27.47,12.44,76.0
EQX1028,AST-1028,Bulldozer,Caterpillar,CAT 259D3,2019,495.2,S005,37.38749699289357,-121.9608362305911,AVAILABLE,Backhoe Loader,S002,2025-02-17,2025-02-25,2025-02-25,,7.2,1.7,8,SHORT_TERM,OVERDUE,False,0,OP136,125,3247.3,52.539199999999994,42223.5,1,8,9,37.337044,-121.882436,S001,534,-527,2025-02-25,100.0,3247.3,80.9,19.1,13.0,76.0
EQX1029,AST-1029,Crane,Caterpillar,CAT 259D3,2024,316.51,S001,37.77465099864783,-122.42230350067648,AVAILABLE,Excavator,S006,2025-06-18,2025-10-17,2025-10-17,,7.6,2.8,121,MEDIUM_TERM,ACTIVE,False,0,OP165,125,3336.8,52.074400000000004,44538.2,2,6,8,40.588074,-122.386901,S001,413,-293,2025-10-17,100.0,3336.8,73.08,26.92,13.35,76.0
EQX1030,AST-1030,Backhoe Loader,Caterpillar,CAT 420,2022,474.5,S006,36.74232537151512,-119.78239697771124,AVAILABLE,Crane,S006,2025-04-24,2025-05-21,2025-05-21,2025-05-21,6.9,1.0,27,SHORT_TERM,COMPLETED,False,0,OP240,125,1239.5,52.680800000000005,14949.9,5,7,12,35.372035,-119.023283,S001,468,-442,2025-05-21,100.0,1239.5,87.34,12.66,12.06,76.0
EQX1031,AST-1031,Grader,Caterpillar,CAT 14M,2023,350.7,S002,37.33930352423164,-121.89149352127752,AVAILABLE,Wheel Loader,,2025-07-04,2025-11-28,2025-11-28,,0.6,8.8,147,MEDIUM_TERM,ACTIVE,False,0,,125,1281.2,60.9496,15734.7,4,4,8,35.370719,-119.015822,S001,397,-251,2025-11-28,100.0,1281.2,6.38,93.62,12.28,76.0
EQX1032,AST-1032,Skid Steer,Caterpillar,CAT 259D3,2024,187.24,S008,35.36918471162641,-119.02061197742644,AVAILABLE,Grader,S004,2025-03-03,2025-04-02,2025-04-02,,1.0,8.7,30,MEDIUM_TERM,OVERDUE,False,0,OP185,125,1540.6,51.8648,20676.9,3,8,11,38.584746,-121.491358,S001,520,-491,2025-04-02,100.0,1540.6,10.31,89.69,13.42,76.0
EQX1033,AST-1033,Grader,Caterpillar,CAT 745,2021,412.46,S005,37.38297514788293,-121.9542673707208,AVAILABLE,Excavator,S006,2025-02-07,2025-09-11,2025-08-06,,1.3,8.5,216,MEDIUM_TERM,EXTENDED,True,2,OP303,125,3388.0,53.115199999999994,38742.3,5,10,15,36.74583,-119.768544,S001,544,-329,2025-09-11,100.0,3388.0,13.27,86.73,11.44,76.0
EQX1034,AST-1034,Crane,Caterpillar,CAT 259D3,2020,308.78,S006,36.74141076082597,-119.76817431337348,AVAILABLE,Bulldozer,S006,2024-11-07,2025-05-22,2025-04-01,2025-05-22,7.8,1.4,196,MEDIUM_TERM,COMPLETED,True,3,OP232,125,3291.5,50.884800000000006,38529.2,2,9,11,36.744029,-119.771812,S001,636,-441,2025-05-22,100.0,3291.5,84.78,15.22,11.71,76.0
EQX1035,AST-1035,Crane,Caterpillar,CAT 950M,2019,270.88,S002,37.337883971744255,-121.88180829997816,AVAILABLE,Compactor,S008,2025-01-23,2025-02-22,2025-02-22,2025-02-22,8.5,0.7,30,SHORT_TERM,COMPLETED,False,0,OP190,125,1265.6,52.184,15724.0,2,7,9,37.773789,-122.41488,S001,559,-530,2025-02-22,100.0,1265.6,92.39,7.61,12.42,76.0
EQX1036,AST-1036,Backhoe Loader,Caterpillar,CAT 14M,2020,275.54,S002,37.331788830873705,-121.89601703265488,AVAILABLE,Bulldozer,S003,2024-09-01,2024-09-27,2024-09-27,2024-09-27,7.5,1.4,26,SHORT_TERM,COMPLETED,False,0,OP117,125,1746.1,51.806400000000004,22396.2,2,8,10,37.799956,-122.271474,S001,703,-678,2024-09-27,100.0,1746.1,84.27,15.73,12.83,76.0
EQX1037,AST-1037,Wheel Loader,Caterpillar,CAT 320,2018,412.41,S005,37.390048347858205,-121.97167441014084,AVAILABLE,Compactor,,2025-04-03,2025-09-21,2025-09-21,,2.3,9.7,171,MEDIUM_TERM,ACTIVE,False,0,,125,3243.7,51.5616,41542.8,4,8,12,37.77273,-122.420722,S001,489,-319,2025-09-21,100.0,3243.7,19.17,80.83,12.81,76.0
EQX1038,AST-1038,Skid Steer,Caterpillar,CAT 320,2022,299.42,S002,37.33777428417213,-121.8894858813488,AVAILABLE,Skid Steer,S002,2025-03-14,2025-04-11,2025-04-11,2025-04-11,4.8,3.0,28,SHORT_TERM,COMPLETED,False,0,OP181,125,3228.0,52.5096,36007.3,0,10,10,37.340366,-121.890924,S001,509,-482,2025-04-11,100.0,3228.0,61.54,38.46,11.15,86.0
EQX1039,AST-1039,Excavator,Caterpillar,CAT 259D3,2018,525.29,S005,37.38411414884504,-121.9727183565949,AVAILABLE,Backhoe Loader,S008,2024-12-03,2025-04-20,2024-12-12,2025-04-20,9.3,3.5,138,SHORT_TERM,COMPLETED,True,3,OP152,125,623.5,52.544,7635.9,3,9,12,36.746885,-119.771741,S001,610,-473,2025-04-20,100.0,623.5,72.66,27.34,12.25,76.0
EQX1040,AST-1040,Excavator,Caterpillar,CAT 950M,2024,416.39,S003,37.80047671023684,-122.2613216375458,AVAILABLE,Compactor,S001,2025-05-30,2025-09-27,2025-09-27,,7.8,1.2,120,MEDIUM_TERM,ACTIVE,False,0,OP174,125,1481.8,52.9944,19930.7,5,8,13,37.772106,-122.420038,S001,432,-313,2025-09-27,100.0,1481.8,86.67,13.33,13.45,76.0
